Company,"CIK Code",Ticker,Market,"S&P Index","Russell Index","Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","Audit Opinion Key",Auditor,"Auditor Key","Auditor PCAOB Registration Number","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate PCAOB Registration Number","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","Year Ended Date","Year Ended (Ideal)","Month Ended (Ideal)","Signature Date",Source,"Source Date","Going Concern","Going Concern Issue Key List","Going Concern Issue Phrase List","Total CAMS in Opinion","Accounting Basis","Is Integrated Audit","Is Additional Opinion","Additional Signature Date 1","Additional Signature Date 2","Additional Signature Date 3","Additional Signature Date 4","Additional Signature Date 5","Auditor Since Year","Auditor Since Code","Predecessor Auditor Since Year","Predecessor Auditor Since Code","Filer Status","Fees Fiscal Year Ended","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)",,,,,
"JANUS INVESTMENT FUND",277751,,,,,"151 DETROIT STREET",,DENVER,Denver,CO,COLORADO,"US West",80206,"(303) 333-3863",,,,,525990,"Other Financial Vehicles",40,571146,"PricewaterhouseCoopers LLP",1,0238,,,,Denver,CO,COLORADO,"US West",2025-06-30,2025,06,2025-08-21,N-CSR,2025-08-29,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"989,752","246,562","1,236,314",,,,,,,,,,,,,,
"FIRST TRUST EXCHANGE-TRADED FUND III",1424212,,,,,"120 EAST LIBERTY DRIVE","SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,525910,"Open-End Investment Funds",40,573706,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-31,2025,07,2025-09-23,N-CSR,2025-10-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"296,000","104,140","400,140",,,,,,,,,,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,574218,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-09-30,2025,09,2025-10-16,6-K,2025-10-21,No,,,,"IFRS - IASB",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John Hancock Funds II",1331971,,,,,"C/O JOHN HANCOCK FUNDS","200 BERKELEY STREET",BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02116,"(617) 663-2166",,,,,525910,"Open-End Investment Funds",40,574730,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-08-31,2025,08,2025-10-17,N-CSR,2025-10-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST)",828806,,,,,"11 GREENWAY PLAZA","SUITE 1000",HOUSTON,Harris,TX,TEXAS,"US Southwest",77046,"(713) 626-1919",,,,,525990,"Other Financial Vehicles",40,575242,"PricewaterhouseCoopers LLP",1,0238,,,,Houston,TX,TEXAS,"US Southwest",2025-08-31,2025,08,2025-10-24,N-CSR,2025-11-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"44,680","28,634","73,314",,,,,,,,,,,,,,
"VANGUARD MALVERN FUNDS",836906,,,,,"P.O. BOX 2600",V26,"VALLEY FORGE",Chester,PA,PENNSYLVANIA,"US Mid Atlantic",19482,"(610) 669-1000",,,,,525990,"Other Financial Vehicles",40,576266,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-09-30,2025,09,2025-11-20,N-CSR,2025-11-28,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GOLDMAN SACHS TRUST",822977,,,,,"71  SOUTH WACKER DRIVE","C/O GOLDMAN SACHS & CO",CHICAGO,Cook,IL,ILLINOIS,"US Midwest",60606,"(312) 655-4400",,,,,525990,"Other Financial Vehicles",40,566283,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-03-31,2025,03,2025-05-23,N-CSR,2025-06-05,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"3,871,978","460,728","4,332,706",,,,,,,,,,,,,,
"PUTNAM FUNDS TRUST",1005942,,,,,"100 FEDERAL STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02110,"(617) 760-1000",,,,,525990,"Other Financial Vehicles",40,567563,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-04-30,2025,04,2025-06-20,N-CSR,2025-06-27,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T. Rowe Price Retirement Funds, Inc.",1177017,,,,,"1307 POINT STREET",,BALTIMORE,"Baltimore City",MD,MARYLAND,"US Mid Atlantic",21231,"(410) 345-2000",,,,,525910,"Open-End Investment Funds",40,569099,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-05-31,2025,05,2025-07-18,N-CSR,2025-07-24,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"15,774",0,"15,774",,,,,,,,,,,,,,
"JANUS INVESTMENT FUND",277751,,,,,"151 DETROIT STREET",,DENVER,Denver,CO,COLORADO,"US West",80206,"(303) 333-3863",,,,,525990,"Other Financial Vehicles",40,571147,"PricewaterhouseCoopers LLP",1,0238,,,,Denver,CO,COLORADO,"US West",2025-06-30,2025,06,2025-08-21,N-CSR,2025-08-29,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"989,752","246,562","1,236,314",,,,,,,,,,,,,,
"Adviser Managed Trust",1502608,,,,,"1 FREEDOM VALLEY DR.",,OAKS,Montgomery,PA,PENNSYLVANIA,"US Mid Atlantic",19456,"(800) 342-5734",,,,,525910,"Open-End Investment Funds",40,573451,"KPMG LLP",4,0185,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-07-31,2025,07,2025-09-23,N-CSR,2025-10-02,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"60,000",0,"60,000",,,,,,,,,,,,,,
"FIRST TRUST EXCHANGE-TRADED FUND III",1424212,,,,,"120 EAST LIBERTY DRIVE","SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,525910,"Open-End Investment Funds",40,573707,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-31,2025,07,2025-09-23,N-CSR,2025-10-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"296,000","104,140","400,140",,,,,,,,,,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,574219,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-09-30,2025,09,2025-10-16,6-K,2025-10-21,No,,,,"IFRS - IASB",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John Hancock Funds II",1331971,,,,,"C/O JOHN HANCOCK FUNDS","200 BERKELEY STREET",BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02116,"(617) 663-2166",,,,,525910,"Open-End Investment Funds",40,574731,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-08-31,2025,08,2025-10-17,N-CSR,2025-10-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST)",828806,,,,,"11 GREENWAY PLAZA","SUITE 1000",HOUSTON,Harris,TX,TEXAS,"US Southwest",77046,"(713) 626-1919",,,,,525990,"Other Financial Vehicles",40,575243,"PricewaterhouseCoopers LLP",1,0238,,,,Houston,TX,TEXAS,"US Southwest",2025-08-31,2025,08,2025-10-24,N-CSR,2025-11-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"44,680","28,634","73,314",,,,,,,,,,,,,,
"VANGUARD MALVERN FUNDS",836906,,,,,"P.O. BOX 2600",V26,"VALLEY FORGE",Chester,PA,PENNSYLVANIA,"US Mid Atlantic",19482,"(610) 669-1000",,,,,525990,"Other Financial Vehicles",40,576267,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-09-30,2025,09,2025-11-20,N-CSR,2025-11-28,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FT 12169",2054718,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,565516,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-05-21,2025,05,2025-05-21,487,2025-05-21,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GOLDMAN SACHS TRUST",822977,,,,,"71  SOUTH WACKER DRIVE","C/O GOLDMAN SACHS & CO",CHICAGO,Cook,IL,ILLINOIS,"US Midwest",60606,"(312) 655-4400",,,,,525990,"Other Financial Vehicles",40,566284,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-03-31,2025,03,2025-05-23,N-CSR,2025-06-05,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"3,871,978","460,728","4,332,706",,,,,,,,,,,,,,
"T. Rowe Price Retirement Funds, Inc.",1177017,,,,,"1307 POINT STREET",,BALTIMORE,"Baltimore City",MD,MARYLAND,"US Mid Atlantic",21231,"(410) 345-2000",,,,,525910,"Open-End Investment Funds",40,569100,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-05-31,2025,05,2025-07-18,N-CSR,2025-07-24,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"15,774",0,"15,774",,,,,,,,,,,,,,
"JANUS INVESTMENT FUND",277751,,,,,"151 DETROIT STREET",,DENVER,Denver,CO,COLORADO,"US West",80206,"(303) 333-3863",,,,,525990,"Other Financial Vehicles",40,571148,"PricewaterhouseCoopers LLP",1,0238,,,,Denver,CO,COLORADO,"US West",2025-06-30,2025,06,2025-08-21,N-CSR,2025-08-29,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"989,752","246,562","1,236,314",,,,,,,,,,,,,,
"Advisors Disciplined Trust 2299",2060521,,,,,"8100 E. 22ND ST. N. BLDG 800, SUITE 102",,WICHITA,Sedgwick,KS,KANSAS,"US Midwest",67226-2350,"(316) 477-2946",,,,,,,33,571660,"Deloitte & Touche LLP",3,0034,,,,Denver,CO,COLORADO,"US West",2025-09-05,2025,8,2025-09-05,S-6/A,2025-09-05,No,,,,"GAAP - US",No,No,,,,,,2024,Since,,,,,,,,,,,,,,,,,,,,,
"FIRST TRUST EXCHANGE-TRADED FUND III",1424212,,,,,"120 EAST LIBERTY DRIVE","SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,525910,"Open-End Investment Funds",40,573708,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-31,2025,07,2025-09-22,N-CSR,2025-10-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"296,000","104,140","400,140",,,,,,,,,,,,,,
"ALLSPRING EXCHANGE-TRADED FUNDS TRUST",1611331,,,,,"1415 VANTAGE PARK DRIVE","3RD FLOOR",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28203,"(833) 568-4255",,,,,525910,"Open-End Investment Funds",40,573964,"KPMG LLP",4,0185,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-07-31,2025,07,2025-09-24,N-CSR/A,2025-10-14,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"75,000",0,"75,000",,,,,,,,,,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,574220,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-09-30,2025,09,2025-10-16,6-K,2025-10-21,No,,,,"GAAP - India",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FRANKLIN STRATEGIC SERIES",872625,,,,,"ONE FRANKLIN PARKWAY",,"SAN MATEO","San Mateo",CA,CALIFORNIA,"US West",94403-1906,"(650) 570-3000",,,,,525990,"Other Financial Vehicles",40,574732,"PricewaterhouseCoopers LLP",1,0238,,,,"San Francisco",CA,CALIFORNIA,"US West",2025-08-31,2025,08,2025-10-20,N-CSR,2025-10-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"iShares, Inc.",930667,,,,,"400 HOWARD STREET",,"SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94105,"(415) 670-2000",,,,,525910,"Open-End Investment Funds",40,574988,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-08-31,2025,08,2025-10-22,N-CSR,2025-11-05,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST)",828806,,,,,"11 GREENWAY PLAZA","SUITE 1000",HOUSTON,Harris,TX,TEXAS,"US Southwest",77046,"(713) 626-1919",,,,,525990,"Other Financial Vehicles",40,575244,"PricewaterhouseCoopers LLP",1,0238,,,,Houston,TX,TEXAS,"US Southwest",2025-08-31,2025,08,2025-10-24,N-CSR,2025-11-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"44,680","28,634","73,314",,,,,,,,,,,,,,
"VANGUARD MALVERN FUNDS",836906,,,,,"P.O. BOX 2600",V26,"VALLEY FORGE",Chester,PA,PENNSYLVANIA,"US Mid Atlantic",19482,"(610) 669-1000",,,,,525990,"Other Financial Vehicles",40,576268,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-09-30,2025,09,2025-11-20,N-CSR,2025-11-28,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morgan Stanley Portfolios, Series 77",2037036,,,,,"2000 WESTCHESTER AVENUE",,PURCHASE,Westchester,NY,"NEW YORK","US Mid Atlantic",10577,"(914) 225-1000",,,,,525990,"Other Financial Vehicles",33,547341,"Deloitte & Touche LLP",3,0034,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-01-17,2025,01,2025-01-17,487,2025-01-17,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FT 12195",2054754,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,565517,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-05-21,2025,05,2025-05-21,487,2025-05-21,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEI ASSET ALLOCATION TRUST",1003632,,,,,"1 FREEDOM VALLEY DRIVE",,OAKS,Montgomery,PA,PENNSYLVANIA,"US Mid Atlantic",19456,"(610) 676-3097",,,,,525990,"Other Financial Vehicles",40,566285,"KPMG LLP",4,0185,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-03-31,2025,03,2025-05-28,N-CSR,2025-06-05,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"143,000",0,"143,000",,,,,,,,,,,,,,
"iShares, Inc.",930667,,,,,"400 HOWARD STREET",,"SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94105,"(415) 670-2000",,,,,525910,"Open-End Investment Funds",40,567821,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-04-30,2025,04,2025-06-24,N-CSR,2025-07-02,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"32,800","19,400","52,200",,,,,,,,,,,,,,
"T. Rowe Price Retirement Funds, Inc.",1177017,,,,,"1307 POINT STREET",,BALTIMORE,"Baltimore City",MD,MARYLAND,"US Mid Atlantic",21231,"(410) 345-2000",,,,,525910,"Open-End Investment Funds",40,569101,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-05-31,2025,05,2025-07-18,N-CSR,2025-07-24,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"15,774",0,"15,774",,,,,,,,,,,,,,
"FT 12467",2073873,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,570893,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-08-26,2025,08,2025-08-26,487,2025-08-26,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JANUS INVESTMENT FUND",277751,,,,,"151 DETROIT STREET",,DENVER,Denver,CO,COLORADO,"US West",80206,"(303) 333-3863",,,,,525990,"Other Financial Vehicles",40,571149,"PricewaterhouseCoopers LLP",1,0238,,,,Denver,CO,COLORADO,"US West",2025-06-30,2025,06,2025-08-21,N-CSR,2025-08-29,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"989,752","246,562","1,236,314",,,,,,,,,,,,,,
"Brighthouse Funds Trust I",1126087,,,,,"BRIGHTHOUSE INVESTMENT ADVISERS, LLC","11225 NORTH COMMUNITY HOUSE RD",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28277,"(980) 949-5121",,,,,525990,"Other Financial Vehicles",40,571661,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-06-30,2025,06,2025-08-22,N-CSRS,2025-09-05,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIRST TRUST EXCHANGE-TRADED FUND IV",1517936,,,,,"120 EAST LIBERTY DRIVE, SUITE 400",,WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,525910,"Open-End Investment Funds",40,573709,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-31,2025,07,2025-09-25,N-CSR,2025-10-07,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"105,875","74,483","180,358",,,,,,,,,,,,,,
"ALLSPRING EXCHANGE-TRADED FUNDS TRUST",1611331,,,,,"1415 VANTAGE PARK DRIVE","3RD FLOOR",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28203,"(833) 568-4255",,,,,525910,"Open-End Investment Funds",40,573965,"KPMG LLP",4,0185,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-07-31,2025,07,2025-09-24,N-CSR/A,2025-10-14,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"75,000",0,"75,000",,,,,,,,,,,,,,
"Infosys Ltd",1067491,INFY,NYSE,,,"ELECTRONICS CITY, HOSUR ROAD",*,BANGALORE,,K7,INDIA,Foreign,"560 100",+91-80-2852-0261,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,574221,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-09-30,2025,09,2025-10-16,6-K,2025-10-21,No,,,,"GAAP - India",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"iShares, Inc.",930667,,,,,"400 HOWARD STREET",,"SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94105,"(415) 670-2000",,,,,525910,"Open-End Investment Funds",40,574989,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-08-31,2025,08,2025-10-22,N-CSR,2025-11-05,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VANGUARD MALVERN FUNDS",836906,,,,,"P.O. BOX 2600",V26,"VALLEY FORGE",Chester,PA,PENNSYLVANIA,"US Mid Atlantic",19482,"(610) 669-1000",,,,,525990,"Other Financial Vehicles",40,576269,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-09-30,2025,09,2025-11-20,N-CSR,2025-11-28,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FT 12209",2054782,,,,,"C/O FIRST TRUST PORTFOLIOS L.P.","120 EAST LIBERTY DRIVE, SUITE 400",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,565518,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-05-21,2025,05,2025-05-21,487,2025-05-21,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GOLDMAN SACHS TRUST",822977,,,,,"71  SOUTH WACKER DRIVE","C/O GOLDMAN SACHS & CO",CHICAGO,Cook,IL,ILLINOIS,"US Midwest",60606,"(312) 655-4400",,,,,525990,"Other Financial Vehicles",40,566286,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-03-31,2025,03,2025-05-23,N-CSR,2025-06-05,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"3,871,978","460,728","4,332,706",,,,,,,,,,,,,,
"BLACKROCK MID-CAP VALUE SERIES, INC.",918848,,,,,"100 BELLEVUE PARKWAY",,WILMINGTON,"New Castle",DE,DELAWARE,"US Mid Atlantic",19809,"(800) 441-7762",,,,,525990,"Other Financial Vehicles",40,567822,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-04-30,2025,04,2025-06-25,N-CSR,2025-07-02,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"31,365","15,707","47,072",,,,,,,,,,,,,,
"WASHINGTON MUTUAL INVESTORS FUND",104865,,,,,"333 S HOPE ST - 55TH FL (ZTM)",,"LOS ANGELES","Los Angeles",CA,CALIFORNIA,"US West",90071,"(213) 486-9200",,,,,525990,"Other Financial Vehicles",40,568078,"PricewaterhouseCoopers LLP",1,0238,,,,"Los Angeles",CA,CALIFORNIA,"US West",2025-04-30,2025,04,2025-06-10,N-CSR,2025-07-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"122,000","20,000","142,000",,,,,,,,,,,,,,
"T. Rowe Price Retirement Funds, Inc.",1177017,,,,,"1307 POINT STREET",,BALTIMORE,"Baltimore City",MD,MARYLAND,"US Mid Atlantic",21231,"(410) 345-2000",,,,,525910,"Open-End Investment Funds",40,569102,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-05-31,2025,05,2025-07-18,N-CSR,2025-07-24,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"15,774",0,"15,774",,,,,,,,,,,,,,
"FT 12452",2071683,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,570894,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-08-26,2025,08,2025-08-26,487,2025-08-26,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JANUS INVESTMENT FUND",277751,,,,,"151 DETROIT STREET",,DENVER,Denver,CO,COLORADO,"US West",80206,"(303) 333-3863",,,,,525990,"Other Financial Vehicles",40,571150,"PricewaterhouseCoopers LLP",1,0238,,,,Denver,CO,COLORADO,"US West",2025-06-30,2025,06,2025-08-21,N-CSR,2025-08-29,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"989,752","246,562","1,236,314",,,,,,,,,,,,,,
"PIMCO Asset-Based Lending Co LLC",2073537,,,,,"650 NEWPORT CENTER DRIVE",,"NEWPORT BEACH",Orange,CA,CALIFORNIA,"US West",92660,"(949) 720-6000",,,6282,"Investment Advice",,,34,571406,"PricewaterhouseCoopers LLP",1,0238,,,,"Kansas City",MO,MISSOURI,"US Southeast",2025-07-01,2025,6,2025-07-18,10-12G/A,2025-09-03,No,,,,"GAAP - US",No,Yes,,,,,,2025,Since,,,,,,,,,,,,,,,,,,,,,
"Prospect Floating Rate & Alternative Income Fund, Inc.",1521945,,,,,"10 EAST 40TH STREET, 42ND FLOOR",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10016,"(212) 448-0702",,,,,525910,"Open-End Investment Funds",34,571662,"Deloitte & Touche LLP",3,0034,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-06-30,2025,06,2025-09-03,424B3,2025-09-05,No,,,1,"GAAP - US",No,Yes,,,,,,2023,Since,,,"Non-Accelerated Filer",2025,"275,000",0,"275,000",,,,2025-06-30,"9,397,546","3,634,434","39,988,137","102,925,390",,,,,,
"ALLSPRING EXCHANGE-TRADED FUNDS TRUST",1611331,,,,,"1415 VANTAGE PARK DRIVE","3RD FLOOR",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28203,"(833) 568-4255",,,,,525910,"Open-End Investment Funds",40,573966,"KPMG LLP",4,0185,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-07-31,2025,07,2025-09-24,N-CSR/A,2025-10-14,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"75,000",0,"75,000",,,,,,,,,,,,,,
"WIPRO LTD",1123799,WIT,NYSE,,,"SARGAPUR ROAD",BANGALORE,KARNATAKA,,K7,INDIA,Foreign,560035,91-80-2844-0011,,,7371,"Computer Programming Services",541511,"Custom Computer Programming Services",34,574222,"Deloitte & Touche LLP",3,0034,"Deloitte Haskins & Sells LLP",16,1180,Bengaluru,K7,INDIA,Foreign,2025-09-30,2025,09,2025-10-16,6-K,2025-10-21,No,,,,"GAAP - India",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neuberger Berman ETF Trust",1506001,,,,,"1290 AVENUE OF THE AMERICAS",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10104,"(212) 476-8800",,,,,525910,"Open-End Investment Funds",40,574734,"Ernst & Young LLP",2,0042,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-08-31,2025,08,2025-10-22,N-CSR,2025-10-30,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"220,700","175,600","396,300",,,,,,,,,,,,,,
